day,crowd_size,cans_observed,cans_observed_recovered,cans_observed_not_recovered,cans_recovered,cans_not_observed_recovered,cans,time_out,gtrend_blm,gtrend_protests,gtrend_federal,pdx_incidents,pdx_chem_incidents,us_incidents,us_chem_incidents,gt_protests,gt_black_lives_matter,gt_federal,gt_tear_gas,gt_gas_mask,gt_bortac,gt_homeland_security,gt_marshals,gt_border_patrol,gt_bleach,gt_chlorine
2020-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,42,7,18,0,0,41,46,96,22
2020-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,36,0,20,0,0,0,0,67,38
2020-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,41,8,20,0,0,0,51,47,25
2020-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,40,0,17,0,0,0,0,12,22
2020-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,45,7,96,0,0,39,0,63,43
2020-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,44,0,67,0,0,39,0,46,29
2020-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,43,0,47,0,0,0,45,35,37
2020-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,52,0,12,0,23,0,0,61,23
2020-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,39,0,63,0,27,0,0,56,66
2020-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,25,0,46,94,28,49,0,58,0
2020-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,33,0,35,0,26,46,0,68,42
2020-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,46,7,61,0,0,0,0,53,22
2020-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,57,7,56,0,45,0,0,41,22
2020-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,32,7,58,0,0,0,0,36,57
2020-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,19,48,9,68,0,0,0,0,61,35
2020-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,30,33,29,53,0,0,0,100,90,24
2020-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,48,36,49,41,0,0,44,0,45,37
2020-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,56,55,69,36,0,0,0,46,24,30
2020-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,100,44,78,61,0,23,0,46,42,38
2020-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,65,50,100,90,0,22,38,0,51,43
2020-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,62,49,52,45,0,22,0,0,28,32
2020-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,75,48,40,24,0,0,39,0,41,33
2020-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,79,44,69,42,0,25,0,50,72,73
2020-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,69,35,45,51,0,25,44,0,72,0
2020-06-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,48,55,25,28,0,21,38,0,28,21
2020-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,43,51,25,41,0,0,0,43,67,0
